experiment_id,timestamp,seed,variant,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,computational_time,data_source
ablation_42_5_equal_full_42,2026-09-01T13:56:01.777798,42,full,5,equal,100.0,43.51,43.51,0.8536,0.383775,16.95,1.13,0.000106,SIMULATION
ablation_42_5_equal_full_43,2026-09-01T13:56:01.778420,43,full,5,equal,100.0,57.93,57.93,0.8118,-1.078574,8.54,4.48,4.2e-05,SIMULATION
ablation_42_5_equal_full_44,2026-09-01T13:56:01.778743,44,full,5,equal,100.0,37.12,37.12,0.6829,0.726238,13.72,3.71,3.3e-05,SIMULATION
ablation_42_5_equal_full_45,2026-09-01T13:56:01.779053,45,full,5,equal,100.0,48.12,48.12,0.836,-0.261632,11.81,3.44,3.2e-05,SIMULATION
ablation_42_5_equal_full_46,2026-09-01T13:56:01.779422,46,full,5,equal,100.0,49.63,49.63,0.7262,-0.363674,20.44,3.0,5.6e-05,SIMULATION
ablation_42_5_equal_full_47,2026-09-01T13:56:01.779796,47,full,5,equal,100.0,56.9,56.9,0.8492,-0.833723,12.93,3.15,3.3e-05,SIMULATION
ablation_42_5_equal_full_48,2026-09-01T13:56:01.780096,48,full,5,equal,100.0,77.88,77.88,0.9623,-3.29196,15.67,1.66,3.2e-05,SIMULATION
ablation_42_5_equal_full_49,2026-09-01T13:56:01.780414,49,full,5,equal,100.0,44.1,44.1,0.7039,0.151399,8.94,3.07,3.2e-05,SIMULATION
ablation_42_5_equal_full_50,2026-09-01T13:56:01.780717,50,full,5,equal,100.0,61.14,61.14,0.8655,-1.372436,14.97,2.33,3.2e-05,SIMULATION
ablation_42_5_equal_full_51,2026-09-01T13:56:01.781019,51,full,5,equal,100.0,76.17,76.17,0.9758,-3.113895,11.41,3.51,3.2e-05,SIMULATION
ablation_42_5_equal_full_52,2026-09-01T13:56:01.781380,52,full,5,equal,100.0,63.19,63.19,0.8084,-1.594238,21.7,1.27,5.3e-05,SIMULATION
ablation_42_5_equal_full_53,2026-09-01T13:56:01.781952,53,full,5,equal,100.0,86.77,86.77,0.9485,-4.77849,16.64,5.45,5.3e-05,SIMULATION
ablation_42_5_equal_full_54,2026-09-01T13:56:01.782408,54,full,5,equal,100.0,69.72,69.72,0.9413,-2.239653,20.79,1.69,4.8e-05,SIMULATION
ablation_42_5_equal_full_55,2026-09-01T13:56:01.782857,55,full,5,equal,100.0,60.78,60.78,0.8529,-1.738261,9.26,5.75,4.7e-05,SIMULATION
ablation_42_5_equal_full_56,2026-09-01T13:56:01.783312,56,full,5,equal,100.0,71.25,71.25,0.8559,-2.542629,21.52,3.8,4.7e-05,SIMULATION
ablation_42_5_equal_full_57,2026-09-01T13:56:01.783751,57,full,5,equal,100.0,63.49,63.49,0.8735,-1.303304,8.6,3.95,4.7e-05,SIMULATION
ablation_42_5_equal_full_58,2026-09-01T13:56:01.784205,58,full,5,equal,100.0,70.82,70.82,0.8978,-2.652614,16.13,2.03,4.7e-05,SIMULATION
ablation_42_5_equal_full_59,2026-09-01T13:56:01.784639,59,full,5,equal,100.0,54.6,54.6,0.8977,-0.627645,11.14,5.66,4.6e-05,SIMULATION
