number_of_users,strategy,n,total_allocated_mean,total_allocated_median,total_allocated_std_dev,total_allocated_min,total_allocated_max,total_allocated_ci_95_lower,total_allocated_ci_95_upper,utilization_percentage_mean,utilization_percentage_median,utilization_percentage_std_dev,utilization_percentage_min,utilization_percentage_max,utilization_percentage_ci_95_lower,utilization_percentage_ci_95_upper,jain_fairness_index_mean,jain_fairness_index_median,jain_fairness_index_std_dev,jain_fairness_index_min,jain_fairness_index_max,jain_fairness_index_ci_95_lower,jain_fairness_index_ci_95_upper,average_utility_mean,average_utility_median,average_utility_std_dev,average_utility_min,average_utility_max,average_utility_ci_95_lower,average_utility_ci_95_upper,computational_time_mean,computational_time_median,computational_time_std_dev,computational_time_min,computational_time_max,computational_time_ci_95_lower,computational_time_ci_95_upper,convergence_iterations_mean,convergence_iterations_median,convergence_iterations_std_dev,convergence_iterations_min,convergence_iterations_max,convergence_iterations_ci_95_lower,convergence_iterations_ci_95_upper
5,alpha_fair,30,61.851,60.41,14.819772,37.12,98.14,56.317206,67.384794,61.851,60.41,14.819772,37.12,98.14,56.317206,67.384794,0.849373,0.86035,0.073655,0.6829,0.9758,0.82187,0.876876,-1.668183,-1.3835,1.76898,-6.8514,0.7262,-2.328731,-1.007635,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,,,,,,,
5,equal,30,60.173,60.41,12.607389,37.12,86.77,55.465324,64.880676,60.173,60.41,12.607389,37.12,86.77,55.465324,64.880676,0.86124,0.8663,0.076896,0.6829,0.981,0.832527,0.889953,-1.410593,-1.33785,1.376174,-4.7785,0.7262,-1.924465,-0.896722,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,,,,,,,
5,game_theory,30,29.45,29.5,1.347731,26.5,32.0,28.946749,29.953251,29.45,29.5,1.347731,26.5,32.0,28.946749,29.953251,0.965603,0.9809,0.037986,0.8577,0.999,0.951419,0.979788,1.596127,1.62,0.114225,1.2797,1.779,1.553474,1.638779,0.000713,0.0006,0.000273,0.0004,0.0015,0.000612,0.000815,3.666667,4.0,0.660895,3.0,5.0,3.419885,3.913449
5,max_min_fairness,30,61.851,60.41,14.819772,37.12,98.14,56.317206,67.384794,61.851,60.41,14.819772,37.12,98.14,56.317206,67.384794,0.849373,0.86035,0.073655,0.6829,0.9758,0.82187,0.876876,-1.668183,-1.3835,1.76898,-6.8514,0.7262,-2.328731,-1.007635,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,,,,,,,
5,priority,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.95442,0.9532,0.022771,0.8947,0.9933,0.945917,0.962923,-7.506647,-7.52495,0.308453,-8.1397,-6.9182,-7.621825,-7.391469,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,,,,,,,
5,proportional,30,61.851,60.41,14.819772,37.12,98.14,56.317206,67.384794,61.851,60.41,14.819772,37.12,98.14,56.317206,67.384794,0.849373,0.86035,0.073655,0.6829,0.9758,0.82187,0.876876,-1.668183,-1.3835,1.76898,-6.8514,0.7262,-2.328731,-1.007635,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,,,,,,,
10,alpha_fair,30,99.089,100.0,2.762141,89.05,100.0,98.0576,100.1204,99.089,100.0,2.762141,89.05,100.0,98.0576,100.1204,0.83473,0.83295,0.045029,0.7646,0.9501,0.817916,0.851544,-2.643733,-2.686,0.265483,-3.0631,-1.801,-2.742866,-2.5446,0.000113,0.0001,3.5e-05,0.0001,0.0002,0.0001,0.000126,,,,,,,
10,equal,30,86.730667,87.81,5.764294,74.65,100.0,84.578244,88.88309,86.730667,87.81,5.764294,74.65,100.0,84.578244,88.88309,0.945813,0.9537,0.029005,0.8858,1.0,0.934983,0.956644,-1.526287,-1.5184,0.423822,-2.5711,-0.6896,-1.684544,-1.368029,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,,,,,,,
10,game_theory,30,42.95,43.0,0.922422,40.5,44.0,42.605562,43.294438,42.95,43.0,0.922422,40.5,44.0,42.605562,43.294438,0.969777,0.9735,0.012111,0.9383,0.9878,0.965255,0.974299,1.18002,1.19115,0.059408,1.0366,1.2801,1.157837,1.202203,0.001593,0.0016,0.000336,0.001,0.0024,0.001468,0.001719,4.466667,5.0,0.62881,3.0,5.0,4.231865,4.701468
10,max_min_fairness,30,99.089,100.0,2.762141,89.05,100.0,98.0576,100.1204,99.089,100.0,2.762141,89.05,100.0,98.0576,100.1204,0.906527,0.9157,0.05848,0.788,1.0,0.88469,0.928363,-2.613867,-2.6636,0.259189,-3.0696,-1.801,-2.71065,-2.517084,0.00011,0.0001,4e-05,0.0001,0.0003,9.5e-05,0.000125,,,,,,,
10,priority,30,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.93715,0.93965,0.021878,0.8868,0.9723,0.92898,0.94532,-2.713737,-2.75025,0.168093,-3.0843,-2.3429,-2.776504,-2.65097,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,,,,,,,
