number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility
5,Equal Allocation,100.0,43.51,43.51,0.8536,0.8985
5,Proportional Allocation,100.0,43.51,43.51,0.8536,0.8985
5,Game Theory,100.0,28.5,28.5,0.8938,1.5674
10,Equal Allocation,100.0,83.16,83.16,0.9016,-0.8245
10,Proportional Allocation,100.0,100.0,100.0,0.7951,-2.2584
10,Game Theory,100.0,41.5,41.5,0.9528,1.1114
20,Equal Allocation,100.0,95.95,95.95,0.9817,-0.1229
20,Proportional Allocation,100.0,100.0,100.0,0.8473,-0.3432
20,Game Theory,100.0,59.5,59.5,0.9581,0.8383
30,Equal Allocation,100.0,97.9,97.9,0.9936,0.1925
30,Proportional Allocation,100.0,100.0,100.0,0.8041,0.0755
30,Game Theory,100.0,71.0,71.0,0.9547,0.6686
50,Equal Allocation,100.0,100.0,100.0,1.0,0.3733
50,Proportional Allocation,100.0,100.0,100.0,0.821,0.3237
50,Game Theory,100.0,89.0,89.0,0.9264,0.4976
