user_id,activity,requested_bandwidth
user_001,web,0.0005
user_002,web,0.0015
user_003,gaming,0.0066
user_004,gaming,0.0063
user_005,streaming,0.0811
user_006,streaming,0.0182
user_007,streaming,0.031
user_008,streaming,0.0132
user_009,gaming,0.0043
user_010,gaming,0.0055
user_011,web,0.0015
user_012,web,0.001
user_013,gaming,0.0055
user_014,gaming,0.0041
user_015,gaming,0.0072
user_016,gaming,0.0103
user_017,gaming,0.0043
user_018,web,0.0031
user_019,gaming,0.007
user_020,streaming,0.0985
user_021,streaming,0.1097
user_022,web,0.0005
user_023,web,0.0021
user_024,web,0.0035
user_025,web,0.003
user_026,streaming,0.1624
user_027,streaming,0.0139
user_028,streaming,0.0243
user_029,streaming,0.0222
user_030,web,0.0035
user_031,streaming,0.1233
user_032,gaming,0.0054
user_033,web,0.0034
user_034,web,0.0038
user_035,streaming,4.448
user_036,streaming,4.448
user_037,streaming,0.0856
user_038,web,0.0026
user_039,streaming,4.448
user_040,streaming,2.6078
user_041,gaming,0.0103
user_042,streaming,0.1514
user_043,streaming,0.0711
user_044,gaming,0.0082
user_045,gaming,0.0048
user_046,gaming,0.0065
user_047,streaming,0.0127
user_048,streaming,0.144
user_049,gaming,0.0045
user_050,streaming,0.0283
user_051,gaming,0.0044
user_052,gaming,0.0097
user_053,streaming,0.0197
user_054,gaming,0.0048
user_055,gaming,0.0041
user_056,streaming,0.0647
user_057,web,0.0001
user_058,gaming,0.0115
user_059,web,0.0001
user_060,gaming,0.0091
user_061,gaming,0.0053
user_062,gaming,0.0085
user_063,web,0.0039
user_064,web,0.0001
user_065,gaming,0.0093
user_066,gaming,0.005
user_067,streaming,0.1004
user_068,streaming,0.2504
user_069,streaming,0.0266
user_070,streaming,0.0328
user_071,gaming,0.0047
user_072,streaming,0.048
user_073,streaming,0.0407
user_074,streaming,0.1416
user_075,streaming,0.1816
user_076,gaming,0.0047
user_077,gaming,0.0066
user_078,streaming,0.5099
user_079,gaming,0.0051
user_080,streaming,0.8401
user_081,streaming,0.0118
user_082,streaming,0.0372
user_083,streaming,0.0118
user_084,gaming,0.0044
user_085,gaming,0.0092
user_086,gaming,0.0072
user_087,streaming,0.0623
user_088,gaming,0.0102
user_089,gaming,0.0116
user_090,streaming,0.145
user_091,gaming,0.0041
user_092,streaming,0.0551
user_093,gaming,0.005
user_094,gaming,0.0062
user_095,streaming,0.0326
user_096,streaming,0.0565
user_097,streaming,0.0734
user_098,streaming,0.54
user_099,streaming,0.0174
user_100,streaming,0.032
user_101,streaming,1.8325
user_102,gaming,0.0047
user_103,streaming,0.0796
user_104,streaming,0.0392
user_105,gaming,0.0089
user_106,streaming,0.0288
user_107,streaming,0.0128
user_108,streaming,2.3915
user_109,gaming,0.0093
user_110,streaming,0.159
user_111,gaming,0.0093
user_112,gaming,0.0099
user_113,web,0.0002
user_114,gaming,0.005
user_115,streaming,0.1197
user_116,streaming,0.4717
user_117,gaming,0.0097
user_118,streaming,0.0258
user_119,streaming,0.0235
user_120,web,0.0038
user_121,web,0.0035
user_122,gaming,0.0094
user_123,streaming,0.0319
user_124,streaming,1.32
user_125,web,0.001
user_126,streaming,1.0854
user_127,gaming,0.0097
user_128,gaming,0.0055
user_129,streaming,0.0306
user_130,streaming,0.0186
user_131,web,0.0039
user_132,streaming,0.1177
user_133,streaming,0.0191
user_134,streaming,0.0198
user_135,web,0.0005
user_136,streaming,0.0886
user_137,streaming,0.6893
user_138,streaming,0.0205
user_139,streaming,0.013
user_140,streaming,0.4829
user_141,streaming,0.0726
user_142,streaming,0.04
user_143,streaming,0.0994
user_144,streaming,0.0253
user_145,streaming,0.194
user_146,web,0.0037
user_147,web,0.0037
user_148,web,0.0037
user_149,web,0.0037
user_150,gaming,0.0045
user_151,web,0.004
user_152,streaming,0.3559
user_153,web,0.0002
user_154,web,0.0002
user_155,web,0.0003
user_156,web,0.0002
user_157,web,0.0004
user_158,web,0.0004
user_159,web,0.0011
user_160,web,0.0004
user_161,web,0.0004
user_162,web,0.0004
user_163,web,0.0006
user_164,web,0.0004
user_165,web,0.0004
user_166,web,0.0003
user_167,web,0.0002
user_168,web,0.0004
user_169,web,0.0005
user_170,web,0.0004
user_171,web,0.0005
user_172,web,0.0004
user_173,streaming,0.0151
user_174,web,0.0001
user_175,streaming,0.5856
user_176,web,0.0008
user_177,web,0.0004
user_178,web,0.0016
user_179,web,0.0001
user_180,web,0.0006
user_181,web,0.0002
user_182,web,0.0004
user_183,web,0.0002
user_184,web,0.0002
user_185,web,0.0002
user_186,web,0.0004
user_187,web,0.0002
user_188,web,0.0002
user_189,web,0.0002
user_190,web,0.0002
user_191,web,0.002
user_192,streaming,1.0796
user_193,streaming,0.6959
user_194,web,0.0023
user_195,streaming,0.1004
user_196,gaming,0.0048
user_197,streaming,0.0121
user_198,streaming,0.0576
user_199,gaming,0.0045
user_200,gaming,0.0094
user_201,web,0.0032
user_202,streaming,0.0214
user_203,web,0.0033
user_204,gaming,0.0058
user_205,streaming,0.0424
user_206,gaming,0.0041
user_207,gaming,0.0052
user_208,gaming,0.0054
user_209,gaming,0.0072
user_210,web,0.0021
user_211,gaming,0.0041
user_212,web,0.0035
user_213,web,0.0033
user_214,gaming,0.0043
user_215,streaming,0.0186
user_216,gaming,0.0102
user_217,gaming,0.0055
user_218,streaming,0.0488
user_219,web,0.0034
user_220,streaming,0.1964
user_221,streaming,4.448
user_222,web,0.002
user_223,web,0.0014
user_224,web,0.0018
user_225,web,0.0009
user_226,web,0.002
user_227,streaming,0.0127
user_228,streaming,0.1222
user_229,gaming,0.0042
user_230,streaming,1.2304
user_231,streaming,0.0266
user_232,streaming,0.1955
user_233,gaming,0.0072
user_234,streaming,0.0447
user_235,streaming,0.0328
user_236,streaming,0.257
user_237,streaming,0.1179
user_238,gaming,0.0082
user_239,streaming,0.0141
user_240,streaming,1.3108
user_241,streaming,0.0189
user_242,streaming,0.0126
user_243,gaming,0.0081
user_244,streaming,4.3023
user_245,streaming,0.8169
user_246,streaming,0.0294
user_247,streaming,0.0244
user_248,gaming,0.0062
user_249,streaming,0.0133
user_250,gaming,0.0046
user_251,gaming,0.0051
user_252,gaming,0.0073
user_253,gaming,0.0056
user_254,web,0.0034
user_255,gaming,0.0066
user_256,streaming,0.0123
user_257,gaming,0.0047
user_258,gaming,0.0072
user_259,streaming,0.0527
user_260,gaming,0.0084
user_261,gaming,0.0065
user_262,gaming,0.0057
user_263,gaming,0.0062
user_264,streaming,0.0361
user_265,gaming,0.0046
user_266,gaming,0.0048
user_267,gaming,0.0093
user_268,gaming,0.0059
user_269,gaming,0.0082
user_270,gaming,0.0102
user_271,gaming,0.004
user_272,gaming,0.0062
user_273,gaming,0.0055
user_274,streaming,0.0321
user_275,gaming,0.0044
user_276,gaming,0.0041
user_277,web,0.003
user_278,streaming,0.0117
user_279,gaming,0.0044
user_280,streaming,0.0441
user_281,streaming,0.3739
user_282,gaming,0.0096
user_283,gaming,0.0051
user_284,gaming,0.0048
user_285,gaming,0.0112
user_286,gaming,0.0045
user_287,gaming,0.0043
user_288,gaming,0.0049
user_289,web,0.0033
user_290,streaming,0.1127
user_291,web,0.004
user_292,gaming,0.0044
user_293,streaming,0.0178
user_294,gaming,0.0116
user_295,gaming,0.0061
user_296,gaming,0.005
user_297,streaming,0.067
user_298,streaming,0.0153
user_299,gaming,0.0104
user_300,gaming,0.0042
user_301,web,0.0037
user_302,web,0.001
user_303,gaming,0.0059
user_304,gaming,0.0063
user_305,gaming,0.0071
user_306,web,0.0037
user_307,gaming,0.0052
user_308,gaming,0.0043
user_309,gaming,0.0041
user_310,gaming,0.0043
user_311,web,0.0038
user_312,gaming,0.006
user_313,web,0.0039
user_314,gaming,0.0055
user_315,gaming,0.0049
user_316,gaming,0.0062
user_317,gaming,0.0064
user_318,gaming,0.0052
user_319,web,0.0023
user_320,gaming,0.0048
user_321,web,0.0035
user_322,streaming,0.0146
user_323,gaming,0.0084
user_324,streaming,0.0166
user_325,gaming,0.0049
user_326,gaming,0.011
user_327,gaming,0.006
user_328,streaming,0.013
user_329,streaming,0.0747
user_330,streaming,0.0121
user_331,streaming,0.0205
user_332,web,0.0039
user_333,gaming,0.0117
user_334,streaming,1.4076
user_335,gaming,0.0079
user_336,gaming,0.0045
user_337,gaming,0.0067
user_338,web,0.0002
user_339,web,0.0002
user_340,web,0.0003
user_341,web,0.0002
user_342,web,0.0004
user_343,web,0.0002
user_344,web,0.0002
user_345,web,0.0001
user_346,web,0.0003
user_347,web,0.0004
user_348,web,0.0004
user_349,web,0.0003
user_350,web,0.0002
user_351,web,0.0002
user_352,web,0.0001
user_353,web,0.0004
user_354,web,0.0003
user_355,web,0.0
user_356,web,0.0005
user_357,web,0.0005
user_358,web,0.0
user_359,web,0.0
user_360,web,0.0002
user_361,web,0.0004
user_362,web,0.0003
user_363,web,0.0003
user_364,web,0.0003
user_365,web,0.0001
user_366,web,0.0001
user_367,web,0.0001
user_368,web,0.0001
user_369,web,0.0001
user_370,web,0.0001
user_371,web,0.0001
user_372,web,0.0001
