experiment_id,timestamp,seed,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,repetition,computational_time,convergence_iterations,converged,is_nash_equilibrium,data_source
exp_42_5_equal_1,2026-09-01T13:22:29.815229,42,5,equal,100.0,43.51,43.51,0.8536,0.3838,16.95,1.13,1,0.0002,,,,SIMULATION
exp_42_5_equal_2,2026-09-01T13:22:29.815366,43,5,equal,100.0,57.93,57.93,0.8118,-1.0786,8.54,4.48,2,0.0001,,,,SIMULATION
exp_42_5_equal_3,2026-09-01T13:22:29.815472,44,5,equal,100.0,37.12,37.12,0.6829,0.7262,13.72,3.71,3,0.0001,,,,SIMULATION
exp_42_5_equal_4,2026-09-01T13:22:29.815564,45,5,equal,100.0,48.12,48.12,0.836,-0.2616,11.81,3.44,4,0.0001,,,,SIMULATION
exp_42_5_equal_5,2026-09-01T13:22:29.815655,46,5,equal,100.0,49.63,49.63,0.7262,-0.3637,20.44,3.0,5,0.0001,,,,SIMULATION
exp_42_5_equal_6,2026-09-01T13:22:29.815764,47,5,equal,100.0,56.9,56.9,0.8492,-0.8337,12.93,3.15,6,0.0001,,,,SIMULATION
exp_42_5_equal_7,2026-09-01T13:22:29.815850,48,5,equal,100.0,77.88,77.88,0.9623,-3.292,15.67,1.66,7,0.0001,,,,SIMULATION
exp_42_5_equal_8,2026-09-01T13:22:29.815939,49,5,equal,100.0,44.1,44.1,0.7039,0.1514,8.94,3.07,8,0.0001,,,,SIMULATION
exp_42_5_equal_9,2026-09-01T13:22:29.816062,50,5,equal,100.0,61.14,61.14,0.8655,-1.3724,14.97,2.33,9,0.0001,,,,SIMULATION
exp_42_5_equal_10,2026-09-01T13:22:29.816187,51,5,equal,100.0,76.17,76.17,0.9758,-3.1139,11.41,3.51,10,0.0001,,,,SIMULATION
exp_42_5_proportional_1,2026-09-01T13:22:29.816288,42,5,proportional,100.0,43.51,43.51,0.8536,0.3838,16.95,1.13,1,0.0001,,,,SIMULATION
exp_42_5_proportional_2,2026-09-01T13:22:29.816379,43,5,proportional,100.0,57.93,57.93,0.8118,-1.0786,8.54,4.48,2,0.0001,,,,SIMULATION
exp_42_5_proportional_3,2026-09-01T13:22:29.816470,44,5,proportional,100.0,37.12,37.12,0.6829,0.7262,13.72,3.71,3,0.0001,,,,SIMULATION
exp_42_5_proportional_4,2026-09-01T13:22:29.816579,45,5,proportional,100.0,48.12,48.12,0.836,-0.2616,11.81,3.44,4,0.0001,,,,SIMULATION
exp_42_5_proportional_5,2026-09-01T13:22:29.816686,46,5,proportional,100.0,51.37,51.37,0.7028,-0.527,20.44,3.0,5,0.0001,,,,SIMULATION
exp_42_5_proportional_6,2026-09-01T13:22:29.816795,47,5,proportional,100.0,56.9,56.9,0.8492,-0.8337,12.93,3.15,6,0.0001,,,,SIMULATION
exp_42_5_proportional_7,2026-09-01T13:22:29.816886,48,5,proportional,100.0,82.11,82.11,0.9315,-3.9371,15.67,1.66,7,0.0001,,,,SIMULATION
exp_42_5_proportional_8,2026-09-01T13:22:29.817006,49,5,proportional,100.0,44.33,44.33,0.6996,0.133,8.94,3.07,8,0.0001,,,,SIMULATION
exp_42_5_proportional_9,2026-09-01T13:22:29.817136,50,5,proportional,100.0,63.69,63.69,0.8344,-1.6849,14.97,2.33,9,0.0001,,,,SIMULATION
exp_42_5_proportional_10,2026-09-01T13:22:29.817338,51,5,proportional,100.0,76.17,76.17,0.9758,-3.1139,11.41,3.51,10,0.0002,,,,SIMULATION
