experiment_id,timestamp,seed,parameter,parameter_value,number_of_users,strategy,total_bandwidth,total_allocated,utilization_percentage,jain_fairness_index,average_utility,latency_ms,jitter_ms,computational_time,data_source
sensitivity_42_5_equal_w_throughput_0.5_42,2026-09-01T11:49:21.156017,42,w_throughput,0.5,5,equal,100.0,43.51,43.51,0.8536,-0.945416,16.95,1.13,8.9e-05,SIMULATION
sensitivity_42_5_equal_w_throughput_0.5_43,2026-09-01T11:49:21.156153,43,w_throughput,0.5,5,equal,100.0,57.93,57.93,0.8118,-2.448095,8.54,4.48,4.5e-05,SIMULATION
sensitivity_42_5_equal_w_throughput_0.5_44,2026-09-01T11:49:21.156269,44,w_throughput,0.5,5,equal,100.0,37.12,37.12,0.6829,-0.491439,13.72,3.71,3.7e-05,SIMULATION
sensitivity_42_5_equal_w_throughput_0.5_45,2026-09-01T11:49:21.156376,45,w_throughput,0.5,5,equal,100.0,48.12,48.12,0.836,-1.585735,11.81,3.44,3.3e-05,SIMULATION
sensitivity_42_5_equal_w_throughput_0.5_46,2026-09-01T11:49:21.156483,46,w_throughput,0.5,5,equal,100.0,49.63,49.63,0.7262,-1.645527,20.44,3.0,3.4e-05,SIMULATION
sensitivity_42_5_proportional_w_throughput_0.5_42,2026-09-01T11:49:21.156590,42,w_throughput,0.5,5,proportional,100.0,43.51,43.51,0.8536,-0.945416,16.95,1.13,3.2e-05,SIMULATION
sensitivity_42_5_proportional_w_throughput_0.5_43,2026-09-01T11:49:21.156746,43,w_throughput,0.5,5,proportional,100.0,57.93,57.93,0.8118,-2.448095,8.54,4.48,5.9e-05,SIMULATION
sensitivity_42_5_proportional_w_throughput_0.5_44,2026-09-01T11:49:21.156949,44,w_throughput,0.5,5,proportional,100.0,37.12,37.12,0.6829,-0.491439,13.72,3.71,7.4e-05,SIMULATION
sensitivity_42_5_proportional_w_throughput_0.5_45,2026-09-01T11:49:21.157125,45,w_throughput,0.5,5,proportional,100.0,48.12,48.12,0.836,-1.585735,11.81,3.44,5.5e-05,SIMULATION
sensitivity_42_5_proportional_w_throughput_0.5_46,2026-09-01T11:49:21.157321,46,w_throughput,0.5,5,proportional,100.0,51.37,51.37,0.7028,-1.816808,20.44,3.0,6.1e-05,SIMULATION
sensitivity_42_5_priority_w_throughput_0.5_42,2026-09-01T11:49:21.157556,42,w_throughput,0.5,5,priority,100.0,100.0,100.0,0.9686,-9.076378,16.95,1.13,7.5e-05,SIMULATION
sensitivity_42_5_priority_w_throughput_0.5_43,2026-09-01T11:49:21.157831,43,w_throughput,0.5,5,priority,100.0,100.0,100.0,0.9278,-9.136969,8.54,4.48,7.4e-05,SIMULATION
sensitivity_42_5_priority_w_throughput_0.5_44,2026-09-01T11:49:21.158035,44,w_throughput,0.5,5,priority,100.0,100.0,100.0,0.9399,-9.13972,13.72,3.71,6.9e-05,SIMULATION
sensitivity_42_5_priority_w_throughput_0.5_45,2026-09-01T11:49:21.158180,45,w_throughput,0.5,5,priority,100.0,100.0,100.0,0.9565,-9.609963,11.81,3.44,4e-05,SIMULATION
sensitivity_42_5_priority_w_throughput_0.5_46,2026-09-01T11:49:21.158294,46,w_throughput,0.5,5,priority,100.0,100.0,100.0,0.9334,-9.319243,20.44,3.0,3.1e-05,SIMULATION
sensitivity_42_5_max_min_fairness_w_throughput_0.5_42,2026-09-01T11:49:21.158422,42,w_throughput,0.5,5,max_min_fairness,100.0,43.51,43.51,0.8536,-0.945416,16.95,1.13,3.2e-05,SIMULATION
sensitivity_42_5_max_min_fairness_w_throughput_0.5_43,2026-09-01T11:49:21.158529,43,w_throughput,0.5,5,max_min_fairness,100.0,57.93,57.93,0.8118,-2.448095,8.54,4.48,3e-05,SIMULATION
sensitivity_42_5_max_min_fairness_w_throughput_0.5_44,2026-09-01T11:49:21.158634,44,w_throughput,0.5,5,max_min_fairness,100.0,37.12,37.12,0.6829,-0.491439,13.72,3.71,3e-05,SIMULATION
sensitivity_42_5_max_min_fairness_w_throughput_0.5_45,2026-09-01T11:49:21.158744,45,w_throughput,0.5,5,max_min_fairness,100.0,48.12,48.12,0.836,-1.585735,11.81,3.44,3e-05,SIMULATION
sensitivity_42_5_max_min_fairness_w_throughput_0.5_46,2026-09-01T11:49:21.158862,46,w_throughput,0.5,5,max_min_fairness,100.0,51.37,51.37,0.7028,-1.816808,20.44,3.0,2.9e-05,SIMULATION
sensitivity_42_5_alpha_fair_w_throughput_0.5_42,2026-09-01T11:49:21.158972,42,w_throughput,0.5,5,alpha_fair,100.0,43.51,43.51,0.8536,-0.945416,16.95,1.13,3e-05,SIMULATION
sensitivity_42_5_alpha_fair_w_throughput_0.5_43,2026-09-01T11:49:21.159076,43,w_throughput,0.5,5,alpha_fair,100.0,57.93,57.93,0.8118,-2.448095,8.54,4.48,3e-05,SIMULATION
sensitivity_42_5_alpha_fair_w_throughput_0.5_44,2026-09-01T11:49:21.159202,44,w_throughput,0.5,5,alpha_fair,100.0,37.12,37.12,0.6829,-0.491439,13.72,3.71,5.7e-05,SIMULATION
sensitivity_42_5_alpha_fair_w_throughput_0.5_45,2026-09-01T11:49:21.159308,45,w_throughput,0.5,5,alpha_fair,100.0,48.12,48.12,0.836,-1.585735,11.81,3.44,3e-05,SIMULATION
sensitivity_42_5_alpha_fair_w_throughput_0.5_46,2026-09-01T11:49:21.159410,46,w_throughput,0.5,5,alpha_fair,100.0,51.37,51.37,0.7028,-1.816808,20.44,3.0,3.4e-05,SIMULATION
sensitivity_42_5_game_theory_w_throughput_0.5_42,2026-09-01T11:49:21.159972,42,w_throughput,0.5,5,game_theory,100.0,28.5,28.5,0.8938,0.067733,16.95,1.13,3.9e-05,SIMULATION
sensitivity_42_5_game_theory_w_throughput_0.5_43,2026-09-01T11:49:21.160461,43,w_throughput,0.5,5,game_theory,100.0,29.5,29.5,0.9603,0.038283,8.54,4.48,3.5e-05,SIMULATION
sensitivity_42_5_game_theory_w_throughput_0.5_44,2026-09-01T11:49:21.160856,44,w_throughput,0.5,5,game_theory,100.0,26.5,26.5,0.8577,0.151886,13.72,3.71,3.3e-05,SIMULATION
sensitivity_42_5_game_theory_w_throughput_0.5_45,2026-09-01T11:49:21.161368,45,w_throughput,0.5,5,game_theory,100.0,29.5,29.5,0.9932,-0.060276,11.81,3.44,3.3e-05,SIMULATION
sensitivity_42_5_game_theory_w_throughput_0.5_46,2026-09-01T11:49:21.161965,46,w_throughput,0.5,5,game_theory,100.0,27.5,27.5,0.8806,0.005175,20.44,3.0,3.6e-05,SIMULATION
sensitivity_42_10_equal_w_throughput_0.5_42,2026-09-01T11:49:21.162093,42,w_throughput,0.5,10,equal,100.0,83.16,83.16,0.9016,-2.424284,16.95,1.13,3.9e-05,SIMULATION
sensitivity_42_10_equal_w_throughput_0.5_43,2026-09-01T11:49:21.162215,43,w_throughput,0.5,10,equal,100.0,88.73,88.73,0.9512,-2.924249,8.54,4.48,3.8e-05,SIMULATION
sensitivity_42_10_equal_w_throughput_0.5_44,2026-09-01T11:49:21.162334,44,w_throughput,0.5,10,equal,100.0,80.28,80.28,0.8952,-2.372567,13.72,3.71,3.7e-05,SIMULATION
sensitivity_42_10_equal_w_throughput_0.5_45,2026-09-01T11:49:21.162460,45,w_throughput,0.5,10,equal,100.0,78.39,78.39,0.9246,-2.217736,11.81,3.44,4.3e-05,SIMULATION
sensitivity_42_10_equal_w_throughput_0.5_46,2026-09-01T11:49:21.162579,46,w_throughput,0.5,10,equal,100.0,81.37,81.37,0.9003,-2.618701,20.44,3.0,3.7e-05,SIMULATION
sensitivity_42_10_proportional_w_throughput_0.5_42,2026-09-01T11:49:21.162724,42,w_throughput,0.5,10,proportional,100.0,100.0,100.0,0.7951,-3.928942,16.95,1.13,3.8e-05,SIMULATION
sensitivity_42_10_proportional_w_throughput_0.5_43,2026-09-01T11:49:21.162845,43,w_throughput,0.5,10,proportional,100.0,100.0,100.0,0.8273,-3.978468,8.54,4.48,3.7e-05,SIMULATION
sensitivity_42_10_proportional_w_throughput_0.5_44,2026-09-01T11:49:21.162966,44,w_throughput,0.5,10,proportional,100.0,100.0,100.0,0.7675,-4.16516,13.72,3.71,3.8e-05,SIMULATION
sensitivity_42_10_proportional_w_throughput_0.5_45,2026-09-01T11:49:21.163086,45,w_throughput,0.5,10,proportional,100.0,94.6,94.6,0.8119,-3.690069,11.81,3.44,3.7e-05,SIMULATION
sensitivity_42_10_proportional_w_throughput_0.5_46,2026-09-01T11:49:21.163212,46,w_throughput,0.5,10,proportional,100.0,100.0,100.0,0.794,-4.340113,20.44,3.0,4.3e-05,SIMULATION
sensitivity_42_10_priority_w_throughput_0.5_42,2026-09-01T11:49:21.163347,42,w_throughput,0.5,10,priority,100.0,100.0,100.0,0.9234,-3.93134,16.95,1.13,3.9e-05,SIMULATION
sensitivity_42_10_priority_w_throughput_0.5_43,2026-09-01T11:49:21.163478,43,w_throughput,0.5,10,priority,100.0,100.0,100.0,0.9052,-4.027404,8.54,4.48,3.8e-05,SIMULATION
sensitivity_42_10_priority_w_throughput_0.5_44,2026-09-01T11:49:21.163609,44,w_throughput,0.5,10,priority,100.0,100.0,100.0,0.9054,-4.176972,13.72,3.71,3.8e-05,SIMULATION
sensitivity_42_10_priority_w_throughput_0.5_45,2026-09-01T11:49:21.163761,45,w_throughput,0.5,10,priority,100.0,100.0,100.0,0.9246,-4.16686,11.81,3.44,3.9e-05,SIMULATION
sensitivity_42_10_priority_w_throughput_0.5_46,2026-09-01T11:49:21.163895,46,w_throughput,0.5,10,priority,100.0,100.0,100.0,0.8868,-4.384999,20.44,3.0,3.9e-05,SIMULATION
sensitivity_42_10_max_min_fairness_w_throughput_0.5_42,2026-09-01T11:49:21.164038,42,w_throughput,0.5,10,max_min_fairness,100.0,100.0,100.0,0.8673,-3.925854,16.95,1.13,4e-05,SIMULATION
sensitivity_42_10_max_min_fairness_w_throughput_0.5_43,2026-09-01T11:49:21.164229,43,w_throughput,0.5,10,max_min_fairness,100.0,100.0,100.0,0.9335,-3.978981,8.54,4.48,4.4e-05,SIMULATION
sensitivity_42_10_max_min_fairness_w_throughput_0.5_44,2026-09-01T11:49:21.164365,44,w_throughput,0.5,10,max_min_fairness,100.0,100.0,100.0,0.8408,-4.17152,13.72,3.71,3.9e-05,SIMULATION
sensitivity_42_10_max_min_fairness_w_throughput_0.5_45,2026-09-01T11:49:21.164498,45,w_throughput,0.5,10,max_min_fairness,100.0,94.6,94.6,0.8119,-3.690069,11.81,3.44,3.9e-05,SIMULATION
sensitivity_42_10_max_min_fairness_w_throughput_0.5_46,2026-09-01T11:49:21.164635,46,w_throughput,0.5,10,max_min_fairness,100.0,100.0,100.0,0.8247,-4.351581,20.44,3.0,3.9e-05,SIMULATION
sensitivity_42_10_alpha_fair_w_throughput_0.5_42,2026-09-01T11:49:21.164769,42,w_throughput,0.5,10,alpha_fair,100.0,100.0,100.0,0.7951,-3.928942,16.95,1.13,4e-05,SIMULATION
sensitivity_42_10_alpha_fair_w_throughput_0.5_43,2026-09-01T11:49:21.164897,43,w_throughput,0.5,10,alpha_fair,100.0,100.0,100.0,0.8273,-3.978468,8.54,4.48,3.9e-05,SIMULATION
sensitivity_42_10_alpha_fair_w_throughput_0.5_44,2026-09-01T11:49:21.165026,44,w_throughput,0.5,10,alpha_fair,100.0,100.0,100.0,0.7675,-4.16516,13.72,3.71,3.9e-05,SIMULATION
sensitivity_42_10_alpha_fair_w_throughput_0.5_45,2026-09-01T11:49:21.165151,45,w_throughput,0.5,10,alpha_fair,100.0,94.6,94.6,0.8119,-3.690069,11.81,3.44,3.9e-05,SIMULATION
sensitivity_42_10_alpha_fair_w_throughput_0.5_46,2026-09-01T11:49:21.165278,46,w_throughput,0.5,10,alpha_fair,100.0,100.0,100.0,0.794,-4.340113,20.44,3.0,3.8e-05,SIMULATION
sensitivity_42_10_game_theory_w_throughput_0.5_42,2026-09-01T11:49:21.166504,42,w_throughput,0.5,10,game_theory,100.0,41.5,41.5,0.9528,-0.027738,16.95,1.13,4.4e-05,SIMULATION
